id,y
1,1
2,0
3,0
4,2
5,1
6,1
7,3
8,1
9,1
10,0
11,0
12,1
13,0
14,3
15,0
16,1
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,3
25,0
26,3
27,0
28,0
29,0
30,2
31,0
32,2
33,0
34,2
35,1
36,1
37,0
38,0
39,0
40,1
41,1
42,1
43,3
44,0
45,1
46,0
47,0
48,2
49,3
50,0
51,1
52,0
53,0
54,3
55,0
56,0
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,1
71,1
72,0
73,1
74,1
75,1
76,1
77,3
78,1
79,1
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,1
88,1
89,2
90,2
91,1
92,2
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,3
101,0
102,1
103,0
104,0
105,2
106,0
107,0
108,0
109,0
110,2
111,1
112,1
113,3
114,0
115,0
116,0
117,1
118,1
119,0
120,3
121,1
122,0
123,0
124,0
125,0
126,0
127,1
128,3
129,0
130,1
131,3
132,0
133,3
134,2
135,0
136,1
137,1
138,2
139,0
140,1
141,0
142,1
143,2
144,0
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,0
153,1
154,1
155,0
156,1
157,0
158,3
159,0
160,1
161,1
162,0
163,1
164,3
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,1
173,0
174,1
175,3
176,0
177,0
178,0
179,1
180,3
181,0
182,1
183,1
184,1
185,3
186,1
187,1
188,1
189,0
190,1
191,0
192,2
193,2
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,3
202,1
203,0
204,0
205,1
206,0
207,1
208,0
209,3
210,0
211,1
212,0
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,2
221,1
222,2
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,0
231,3
232,1
233,3
234,0
235,0
236,0
237,2
238,0
239,1
240,0
241,2
242,1
243,0
244,2
245,3
246,1
247,0
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,3
257,0
258,1
259,0
260,0
261,1
262,0
263,0
264,1
265,3
266,1
267,1
268,0
269,1
270,1
271,0
272,1
273,1
274,0
275,2
276,0
277,0
278,0
279,1
280,0
281,0
282,3
283,3
284,3
285,1
286,1
287,0
288,2
289,1
290,1
291,0
292,2
293,2
294,0
295,1
296,0
297,0
298,0
299,1
300,0
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,3
309,1
310,0
311,0
312,0
313,0
314,2
315,1
316,0
317,0
318,0
319,3
320,1
321,0
322,1
323,2
324,1
325,0
326,0
327,0
328,2
329,0
330,0
331,1
332,0
333,0
334,0
335,1
336,3
337,0
338,0
339,0
340,0
341,0
342,3
343,0
344,1
345,2
346,1
347,1
348,0
349,0
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,1
360,1
361,1
362,0
363,1
364,3
365,0
366,1
367,0
368,0
369,0
370,0
371,1
372,0
373,0
374,1
375,1
376,0
377,0
378,2
379,0
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,0
388,1
389,0
390,1
391,2
392,0
393,0
394,3
395,2
396,1
397,0
398,3
399,0
400,0
401,0
402,1
403,0
404,0
405,0
406,1
407,0
408,0
409,0
410,1
411,0
412,0
413,0
414,1
415,1
416,1
417,3
418,1
419,1
420,0
421,0
422,1
423,0
424,0
425,3
426,0
427,0
428,0
429,0
430,2
431,0
432,1
433,0
434,1
435,0
436,0
437,1
438,2
439,3
440,0
441,0
442,1
443,1
444,1
445,0
446,1
447,1
448,3
449,2
450,1
451,0
452,0
453,0
454,1
455,0
456,0
457,0
458,1
459,0
460,0
461,1
462,0
463,0
464,2
465,0
466,0
467,1
468,1
469,0
470,1
471,0
472,1
473,0
474,1
475,0
476,0
477,1
478,1
479,0
480,0
481,3
482,1
483,0
484,1
485,0
486,0
487,1
488,0
489,0
490,0
491,1
492,0
493,1
494,0
495,0
496,1
497,3
498,1
499,0
500,3
501,0
502,0
503,3
504,0
505,0
506,3
507,1
508,0
509,0
510,0
511,1
512,3
513,2
514,2
515,0
516,0
517,1
518,0
519,0
520,1
521,0
522,0
523,0
524,0
525,3
526,0
527,2
528,0
529,0
530,0
531,0
532,3
533,0
534,0
535,0
536,0
537,0
538,3
539,0
540,0
541,3
542,2
543,0
544,0
545,2
546,1
547,1
548,0
549,1
550,1
551,2
552,0
553,0
554,0
555,3
556,0
557,0
558,1
559,0
560,0
561,0
562,0
563,1
564,2
565,2
566,2
567,1
568,0
569,0
570,3
571,0
572,0
573,3
574,1
575,2
576,1
577,1
578,0
579,0
580,1
581,1
582,2
583,0
584,1
585,1
586,0
587,0
588,0
589,1
590,0
591,2
592,0
593,0
594,0
595,0
596,0
597,0
598,2
599,3
600,1
601,0
602,2
603,1
604,3
605,0
606,0
607,0
608,0
609,1
610,0
611,0
612,0
613,0
614,1
615,1
616,1
617,0
618,0
619,0
620,1
621,2
622,3
623,0
624,0
625,3
626,0
627,1
628,0
629,1
630,0
631,0
632,0
633,2
634,0
635,0
636,1
637,1
638,1
639,1
640,3
641,3
642,0
643,0
644,3
645,0
646,0
647,0
648,0
649,0
650,1
651,0
652,2
653,0
654,1
655,0
656,0
657,0
658,0
659,3
660,0
661,0
662,0
663,0
664,3
665,3
666,0
667,1
668,1
669,0
670,0
671,0
672,0
673,1
674,1
675,2
676,1
677,0
678,0
679,3
680,0
681,0
682,1
683,0
684,1
685,0
686,0
687,0
688,0
689,1
690,1
691,1
692,1
693,0
694,1
695,2
696,0
697,1
698,1
699,1
700,3
701,1
702,0
703,0
704,1
705,0
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,0
714,0
715,1
716,2
717,0
718,3
719,3
720,1
721,0
722,2
723,1
724,1
725,1
726,2
727,3
728,1
729,1
730,0
731,1
732,0
733,1
734,0
735,0
736,1
737,3
738,1
739,0
740,0
741,0
742,0
743,2
744,0
745,1
746,1
747,0
748,1
749,2
750,0
751,0
752,2
753,1
754,0
755,0
756,1
757,3
758,0
759,1
760,1
761,1
762,0
763,0
764,2
765,1
766,1
767,1
768,0
769,3
770,1
771,0
772,1
773,2
774,2
775,0
776,0
777,0
778,0
779,1
780,0
781,0
782,0
783,2
784,1
785,3
786,0
787,0
788,2
789,1
790,0
791,0
792,2
793,0
794,0
795,1
796,0
797,1
798,1
799,1
800,0
801,1
802,1
803,0
804,2
805,1
806,1
807,2
808,0
809,0
810,0
811,0
812,1
813,1
814,0
815,1
816,1
817,1
818,1
819,0
820,3
821,0
822,1
823,1
824,0
825,1
826,0
827,0
828,0
829,1
830,1
831,0
832,0
833,0
834,1
835,0
836,0
837,0
838,1
839,0
840,1
841,1
842,0
843,1
844,1
